Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Genre
2014,121,8.1,757074,333.13,Action
2016,108,7.2,60545,270.32,Comedy
2016,123,6.2,393727,325.02,Action
2016,103,6.1,56036,45.13,Action
2016,128,8.3,258682,151.06,Comedy
2016,141,7.1,7188,8.01,Action
2016,116,7,192177,100.01,Drama
2016,133,7.5,232072,234.02,Action
2016,127,7.8,93103,169.27,Drama
2016,133,7.9,323118,532.17,Action
2016,107,7.7,118151,248.75,Comedy
2016,109,6.4,8612,2.87,Action
2016,87,6.6,120259,368.31,Comedy
2016,139,8.2,211760,67.12,Drama
2016,123,6.7,150823,162.16,Action
2016,118,8.1,102061,51.69,Drama
2016,116,8,340798,100.5,Drama
2016,120,6.7,19053,7.22,Drama
2016,137,7.9,134213,47.7,Drama
2016,92,6.5,38552,153.69,Comedy
2016,120,5.3,127553,103.14,Action
2016,100,6.2,66540,113.08,Comedy
2016,115,5.9,112813,54.65,Action
2016,111,6.3,48123,60.31,Comedy
2016,116,7.5,126030,10.64,Drama
2016,144,7.1,275510,155.33,Action
2016,108,8,627797,363.02,Action
2016,107,5.6,46165,26.84,Action
2016,147,7.9,411656,408.08,Action
2014,169,8.6,1047747,187.99,Drama
2016,115,7.6,293732,232.6,Action
2016,132,6.9,122853,93.38,Action
2016,89,6.3,120690,97.66,Comedy
2016,111,7.5,135095,27.85,Drama
2016,115,7.2,37033,12.79,Drama
2016,99,6.3,279,4.21,Drama
2011,136,6.7,395025,241.06,Action
2016,132,7.3,17818,3.44,Drama
2016,122,7.1,164567,158.8,Action
2015,136,8.1,661608,936.63,Action
2016,91,5.8,41362,30.35,Action
2016,118,5.6,20221,32.46,Comedy
2014,101,7.2,321933,43,Action
2008,152,9,1791916,533.32,Action
2016,161,7.3,49190,7.08,Drama
2016,106,7.4,113322,56.23,Drama
2016,117,7,3739,3.18,Comedy
2016,96,7.5,137608,125.07,Drama
2016,151,6.7,472307,330.25,Action
2016,112,6.5,102177,75.31,Drama
2015,125,4.1,244474,166.15,Drama
2006,130,8.5,913152,53.08,Drama
2014,129,7.7,440209,128.25,Action
2016,133,7.4,39784,31.86,Drama
2015,120,8.1,632842,153.63,Action
2016,106,7.5,291,0.01,Drama
2016,107,7.2,89849,61.28,Action
2016,124,7.1,78079,40.07,Action
2016,108,7.5,39134,3.73,Drama
2016,97,6.8,43977,30.98,Drama
2016,108,8.1,296853,341.26,Comedy
2007,169,7.1,498821,309.4,Action
2012,143,8.1,1045588,623.28,Action
2009,153,8.3,959065,120.52,Drama
2006,151,7.3,552027,423.03,Action
2016,116,5.3,147717,128.34,Action
2010,148,8.8,1583625,292.57,Action
2016,118,7.9,105081,5.88,Comedy
2013,180,8.2,865134,116.87,Comedy
2014,149,8.1,636243,167.74,Drama
2015,137,7.2,301249,350.03,Action
2015,124,7,455169,652.18,Action
2016,129,6.4,27869,10.38,Drama
2009,162,7.8,935408,760.51,Action
2015,187,7.8,341170,54.12,Drama
2016,128,7.4,162122,86.2,Action
2013,153,8.1,431185,60.96,Drama
2016,123,7,187547,47.17,Action
2011,146,8.1,342429,169.71,Drama
2016,114,7.1,106463,43.02,Comedy
2015,141,7.4,516895,458.99,Action
2016,116,7.4,175067,36.25,Action
2016,106,8.6,34110,4.68,Drama
2016,105,6.3,10181,1.29,Drama
2006,151,8.5,937414,132.37,Drama
2015,132,7,108836,1.87,Drama
2011,115,7,570814,181.02,Action
2015,144,8,556097,228.43,Drama
2015,116,7.3,202973,45.43,Action
2016,102,7.7,115546,26.86,Drama
2016,120,5.4,1954,1.66,Comedy
2016,110,6.3,117590,126.59,Action
2014,108,7.7,339797,25.44,Drama
2016,89,6.3,3712,10.16,Action
2013,134,8.1,486338,56.67,Drama
2006,117,7.7,637104,210.59,Action
2011,130,8.1,590595,380.96,Drama
2016,105,5.8,30761,54.73,Comedy
2016,104,7.2,192968,71.9,Drama
2016,97,7.4,157026,486.29,Comedy
2016,127,6.7,101058,87.24,Drama
2016,98,6,53183,46.01,Comedy
2012,164,8.5,1222645,448.13,Action
2016,106,7.5,198243,364,Drama
2014,165,5.7,255483,245.43,Action
2016,96,6.6,69651,38.56,Action
2008,108,6.4,153481,143.7,Comedy
2015,156,8,499424,183.64,Drama
2016,139,7.3,50953,57.64,Drama
2014,125,6,109756,128,Comedy
2016,86,6.4,78328,55.12,Drama
2014,107,8.5,477276,13.09,Drama
2013,130,7.1,318051,238.67,Action
2012,140,7.3,200090,21.38,Drama
2007,122,8.1,660286,74.27,Drama
2013,143,7.3,386102,144.81,Drama
2009,127,8,526324,257.7,Action
2010,94,6.2,34184,64,Comedy
2015,130,7.8,246360,70.24,Comedy
2015,118,8.2,224132,14.68,Drama
2012,165,8.4,1039115,162.8,Drama
2016,144,8.1,33418,2.01,Drama
2016,104,7.4,47694,14.26,Comedy
2009,162,7.6,410249,107.5,Action
2007,113,7.6,442082,121.46,Comedy
2016,121,6.2,97623,34.26,Action
2016,117,6.4,50853,55.47,Action
2016,88,5.8,4299,0.2,Drama
2015,121,7.6,243230,46.88,Action
2007,94,4.7,97618,41.8,Action
2013,131,7,400519,101.79,Action
2011,118,7.4,396714,84.24,Comedy
2010,112,7.5,291457,31.49,Action
2007,121,7.9,373244,23.62,Action
2016,90,7,6946,1.8,Action
2014,132,8,552298,233.91,Action
2016,118,6.1,78043,58.4,Action
2006,144,8,495106,167.01,Action
2008,122,5.2,361449,191.45,Drama
2016,129,6.5,156567,65.03,Action
2015,109,7.3,39723,33.31,Drama
2016,144,7.3,76935,52.82,Action
2015,148,6.8,308981,200.07,Action
2014,118,7.9,332476,32.28,Drama
2013,126,8,390531,25.56,Drama
2013,102,7.5,451894,400.74,Comedy
2015,130,6.5,143069,93.42,Action
2014,130,7.6,337777,208.54,Action
2008,107,7,321442,110.42,Action
2015,117,7.3,368912,180.19,Action
2016,118,6.7,43086,24.09,Comedy
2015,105,7,117018,201.15,Drama
2016,124,8,22389,3.4,Drama
2016,113,6.3,11944,1.72,Drama
2015,119,6.6,97454,31.06,Drama
2011,100,7.8,461509,35.05,Drama
2015,125,6.3,106364,110.01,Comedy
2016,133,7.2,27382,12.53,Drama
2015,128,8.1,268282,44.99,Drama
2011,140,8.2,355722,13.65,Action
2011,124,6.9,547368,176.64,Action
2007,148,8.1,459304,18.35,Drama
2014,114,8.1,532353,91.12,Drama
2016,107,6.3,97082,127.38,Action
2014,113,7.9,471815,100.19,Action
2016,146,6.5,12193,8.1,Drama
2016,134,7.3,79855,21.48,Drama
2008,126,7.9,737719,318.3,Action
2016,120,5.7,70504,66,Action
2011,132,7.8,550011,146.41,Action
2016,99,7.5,5435,0.51,Drama
2016,118,7.5,26089,2.14,Comedy
2011,125,6.8,227912,169.08,Comedy
2015,114,6.1,161396,155.18,Action
2012,94,5.3,114290,14.12,Drama
2007,144,7.1,531112,318.76,Action
2013,112,7,443584,206.36,Action
2016,126,5.5,73568,31.14,Action
2014,136,7.8,542362,259.75,Action
2016,104,5.7,7044,33.04,Action
2010,117,7.7,456749,48.04,Action
2015,96,6.7,61098,9.24,Action
2006,117,7.1,283445,244.05,Comedy
2011,158,7.8,348551,102.52,Drama
2013,110,7,334867,150.37,Comedy
2016,163,7,19660,0.66,Drama
2015,119,7.1,121313,8.7,Comedy
2010,107,6.4,179450,52,Action
2014,97,7,268877,241.41,Action
2006,118,8.2,498879,37.62,Drama
2016,95,5.2,3305,0,Drama
2006,139,7.8,247926,50.86,Action
2015,131,7.4,257472,195,Action
2016,114,6.1,66766,47.95,Action
2012,102,8,377336,17.74,Drama
2016,100,6.8,41446,13.96,Drama
2016,85,3.9,4895,2.41,Drama
2014,99,8.1,530881,59.07,Comedy
2013,125,5.9,96852,26.62,Action
2014,134,7.6,332234,85.71,Action
2015,95,8.2,416689,356.45,Comedy
2016,90,5.8,1109,9.4,Comedy
2015,126,6.5,205365,89.73,Action
2010,118,5.9,148949,88.76,Action
2012,158,7.6,257426,148.78,Drama
2006,109,7.9,382910,35.29,Drama
2016,119,7.4,14708,5.66,Comedy
2015,119,7.1,188017,110.82,Action
2011,112,8.6,557965,13.18,Comedy
2016,92,4.9,178,0.32,Comedy
2009,94,7.3,50946,0.11,Drama
2015,147,7.9,139831,161.03,Drama
2014,142,6.7,342183,202.85,Action
2009,100,7.8,611563,277.31,Comedy
2012,131,5.8,210349,65.17,Action
2011,105,7.6,422290,176.74,Action
2016,118,7.1,664,2.27,Drama
2014,119,7.8,440299,42.34,Comedy
2010,108,8,581518,106.95,Drama
2014,108,6.2,21715,4.4,Comedy
2013,117,7,90556,0.79,Drama
2016,112,6,59312,0.54,Action
2015,99,4.9,53441,0.03,Drama
2016,102,6,75137,35.54,Comedy
2012,172,7.5,298651,27.1,Drama
2009,107,6.7,388447,179.88,Action
2012,143,7.8,547386,304.36,Action
2012,169,7.9,668651,303,Action
2012,110,7.2,432046,138.45,Action
2016,106,8,52144,3.23,Comedy
2013,124,7,410125,89.02,Action
2014,112,7.1,280110,191.62,Action
2007,157,7.7,329683,33.05,Drama
2016,117,7,36312,3.37,Comedy
2013,130,7.2,591023,408.99,Action
2009,128,7.6,501769,209.02,Action
2015,119,7,110773,12.71,Drama
2014,98,6,122838,72.66,Action
2011,110,6.1,204874,36.38,Action
2016,105,5.8,30405,14.9,Action
2015,127,5.3,150121,47.38,Action
2016,95,5.8,26508,17.36,Action
2016,118,7.5,58782,2.13,Action
2012,112,7.2,226631,65,Comedy
2016,92,5.7,76327,55.29,Comedy
2013,143,7.1,577010,291.02,Action
2016,111,6.6,20514,18.71,Drama
2016,94,5.7,34523,64.06,Comedy
2006,109,6.8,302268,124.73,Comedy
2016,127,7.1,43929,15.43,Drama
2007,158,8.1,400682,40.22,Drama
2014,132,7.2,249425,101.53,Action
2013,121,7.5,218996,125.07,Action
2008,97,5.5,67033,48.24,Comedy
2010,104,6.4,105619,31.58,Comedy
2014,148,6.7,69509,8.09,Comedy
2016,113,6.2,57207,77.04,Action
2006,104,6,193479,62.49,Action
2016,110,6.1,59886,46.81,Comedy
2009,129,7.7,237221,255.95,Drama
2013,180,7.8,103150,2.2,Drama
2014,93,6.8,132580,0.92,Drama
2014,144,7.4,385598,255.11,Action
2007,138,7.5,385325,292,Action
